orden;token;cat1;lema
919;antiguo;j;antiguo
920;plan;n;plan
921;papá;n;papá
922;mejores;j;mejor
923;muerto;v;morir
924;prácticamente;r;prácticamente
925;café;n;café
926;cree;v;creer
927;realizar;v;realizar
928;dolor;n;dolor
929;trabajos;n;trabajo
930;velocidad;n;velocidad
931;veo;v;ver
932;acciones;n;acción
933;términos;n;término
934;sala;n;sala
935;administración;n;administración
936;cual;p;cual
937;pies;n;pie
938;aspectos;n;aspecto
939;simplemente;r;simplemente
940;células;n;célula
941;jóvenes;n;joven
942;título;n;título
943;miró;v;mirar
944;iban;v;ir
945;hermano;n;hermano
946;precio;n;precio
947;actitud;n;actitud
948;poeta;n;poeta
949;permite;v;permitir
950;objetos;n;objeto
951;armas;n;arma
952;tierras;n;tierra
953;conseguir;v;conseguir
954;piedra;n;piedra
955;colombia;n;colombia
956;cuales;p;cual
957;pequeñas;j;pequeño
958;autoridad;n;autoridad
959;domingo;n;domingo
960;noviembre;n;noviembre
961;consecuencia;n;consecuencia
962;fuego;n;fuego
963;distancia;n;distancia
964;salió;v;salir
965;vas;v;ir
966;pueblos;n;pueblo
967;guerra;n;guerra
968;carta;n;carta
969;diversos;j;diverso
970;larga;j;largo
971;resultado;n;resultado
972;mayores;j;mayor
973;tus;d;tu
974;alma;n;alma
975;efectos;n;efecto
976;fernando;n;fernando
977;producto;n;producto
978;ciencia;n;ciencia
979;arquitectura;n;arquitectura
980;perdido;v;perder
981;memoria;n;memoria
982;torno;n;torno
983;llamado;v;llamar
984;regiones;n;región
985;peso;n;peso
986;garcía;n;garcía
987;valores;n;valor
988;actualmente;r;actualmente
989;china;n;china
990;suficiente;j;suficiente
991;inglaterra;n;inglaterra
992;dando;v;dar
993;carne;n;carne
994;pesos;n;peso
995;u;c;u
996;vale;v;valer
997;cine;n;cine
998;perú;n;perú
999;fecha;n;fecha
1000;conflicto;n;conflicto
1001;viento;n;viento
1002;material;n;material
1003;precios;n;precio
1004;pienso;v;pensar
1005;mantener;v;mantener
1006;posible;j;posible
1007;francisco;j;francisco
1008;líneas;n;línea
1009;interesante;j;interesante
1010;federal;j;federal
1011;participación;n;participación
1012;febrero;n;febrero
1013;inglés;n;inglés
1014;altura;n;altura
1015;encuentro;n;encuentro
1016;independencia;n;independencia
1017;preguntó;v;preguntar
1018;voluntad;n;voluntad
1019;lenguaje;n;lenguaje
1020;comercial;j;comercial
1021;encima;e;encima
1022;figuras;n;figura
1023;modelo;n;modelo
1024;pregunta;n;pregunta
1025;contacto;n;contacto
1026;vaya;v;ir
1027;presión;n;presión
1028;espíritu;n;espíritu
1029;guatemala;n;guatemala
1030;diferente;j;diferente
1031;ejecutivo;j;ejecutivo
1032;habana;j;habano
1033;nuestras;d;nuestro
1034;calles;n;calle
1035;aproximadamente;r;aproximadamente
1036;negro;j;negro
1037;independiente;j;independiente
1038;completa;j;completo
1039;deja;v;dejar
1040;victoria;n;victoria
1041;tratamiento;n;tratamiento
1042;golpe;n;golpe
1043;bolivia;n;bolivia
1044;tuvieron;v;tener
1045;artistas;n;artista
1046;cambio;c;cambio
1047;crear;v;crear
1048;alemán;j;alemán
1049;sitio;n;sitio
1050;tamaño;n;tamaño
1051;ser;n;ser
1052;fuente;n;fuente
1053;musical;j;musical
1054;santiago;n;santiago
1055;recién;j;recién
1056;visita;n;visita
1057;políticas;j;político
1058;clara;j;claro
1059;conoce;v;conocer
1060;sentía;v;sentir
1061;medio;n;medio
1062;intereses;n;interés
1063;puesto;v;poner
1064;diario;n;diario
1065;buenos;j;buen
1066;ocurre;v;ocurrir
1067;exposición;n;exposición
1068;entrada;n;entrada
1069;vive;v;vivir
1070;aguas;n;agua
1071;tío;n;tío
1072;seguro;-;seguro
1073;francés;j;francés
1074;secretario;n;secretario
1075;conciencia;n;conciencia
1076;frecuencia;n;frecuencia
1077;cuarenta;m;cuarenta
1078;escribir;v;escribir
1079;miles;n;mil
1080;tuve;v;tener
1081;doce;m;doce
1082;obtener;v;obtener
1083;clima;n;clima
1084;colores;n;color
1085;democracia;n;democracia
1086;aumento;n;aumento
1087;características;n;característica
1088;solución;n;solución
1089;semanas;n;semana
1090;podido;v;poder
1091;tomó;v;tomar
1092;tercera;m;tercer
1093;objetivo;n;objetivo
1094;general;n;general
1095;destino;n;destino
1096;fuentes;n;fuente
1097;tantos;d;tanto
1098;movimientos;n;movimiento
1099;niña;n;niña
1100;instituto;n;instituto
1101;reino;n;reino
1102;transporte;n;transporte
1103;detrás;e;detrás
1104;premio;n;premio
1105;podían;v;poder
1106;materiales;n;material
1107;fundamental;j;fundamental
1108;pensamiento;n;pensamiento
1109;nacionales;j;nacional
1110;ganar;v;ganar
1111;terreno;n;terreno
1112;técnica;n;técnica
1113;responsabilidad;n;responsabilidad
1114;capaz;j;capaz
1115;par;n;par
1116;marcha;n;marcha
1117;revolución;n;revolución
1118;mariano;j;mariano
1119;diversas;j;diverso
1120;numerosos;j;numeroso
1121;lejos;r;lejos
1122;corriente;n;corriente
1123;nación;n;nación
1124;juicio;n;juicio
1125;esposa;n;esposa
1126;jorge;n;jorge
1127;aquello;p;aquello
1128;acto;n;acto
1129;brasil;n;brasil
1130;roma;n;roma
1131;nombres;n;nombre
1132;razones;n;razón
1133;japón;n;japón
1134;resultados;n;resultado
1135;presente;n;presente
1136;esperar;v;esperar
1137;pese;v;pesar
1138;pone;v;poner
1139;imágenes;n;imagen
1140;práctica;n;práctica
1141;propios;j;propio
1142;edificio;n;edificio
1143;visión;n;visión
1144;sale;v;salir
1145;marido;n;marido
1146;comer;v;comer
1147;acá;r;acá
1148;internacionales;j;internacional
1149;mala;j;malo
1150;ambas;d;ambas
1151;pena;n;pena
1152;veía;v;ver
1153;siento;v;sentar
1154;recuerdo;v;recordar
1155;islas;n;isla
1156;pensó;v;pensar
1157;rato;n;rato
1158;ciertas;j;cierto
1159;murió;v;morir
1160;dedos;n;dedo
1161;personajes;n;personaje
1162;dieron;v;dar
1163;autores;n;autor
1164;pieza;n;pieza
1165;técnicas;n;técnica
1166;campos;n;campo
1167;cuenta;v;contar
1168;lluvia;n;lluvia
1169;final;j;final
1170;toma;v;tomar
1171;violencia;n;violencia
1172;naciones;n;nación
1173;quieren;v;querer
1174;pocas;d;poco
1175;cualquiera;p;cualquiera
1176;generación;n;generación
1177;grado;n;grado
1178;aparece;v;aparecer
1179;piezas;n;pieza
1180;ves;v;ver
1181;género;n;género
1182;pasos;n;paso
1183;salida;n;salida
1184;ay;i;ay
1185;sectores;n;sector
1186;argentina;n;argentina
1187;conocido;j;conocido
1188;niveles;n;nivel
1189;acerca;v;acercar
1190;lópez;n;lópez
1191;ocasión;n;ocasión
1192;concepto;n;concepto
1193;petróleo;n;petróleo
1194;llegaron;v;llegar
1195;provincia;n;provincia
1196;exactamente;r;exactamente
1197;posibilidades;n;posibilidad
1198;hierro;n;hierro
1199;propiedad;n;propiedad
1200;blanco;j;blanco
1201;debajo;e;debajo
1202;modo;c;modo
1203;comida;n;comida
1204;piso;n;piso
1205;cambiar;v;cambiar
1206;tercer;m;tercer
1207;principalmente;r;principalmente
1208;jesús;n;jesús
1209;necesita;v;necesitar
1210;ciertos;j;cierto
1211;recibió;v;recibir
1212;procesos;n;proceso
1213;película;n;película
1214;luna;n;luna
1215;equipos;n;equipo
1216;filosofía;n;filosofía
1217;rodríguez;n;rodríguez
1218;verano;n;verano
1219;vía;n;vía
1220;presidencia;n;presidencia
1221;noches;n;noche
1222;presenta;v;presentar
1223;serán;v;ser
1224;india;n;india
1225;física;j;físico
1226;europea;j;europeo
1227;teléfono;n;teléfono
1228;lograr;v;lograr
1229;departamento;n;departamento
1230;mío;p;mío
1231;pudiera;v;poder
1232;contar;v;contar
1233;hermanos;n;hermano
1234;riesgo;n;riesgo
1235;probablemente;r;probablemente
1236;aun;r;aun
1237;enfermedades;n;enfermedad
